ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,France Wine,France Red Wine,FRANCE,60892,BORDEAUX - CHATEAU SAINT BERNARD 2018,3760130710534,0.75,1,14,25,NA
Wine,Italy Wine,Italy Red Wine,ITALY,68219,BAROLO - AZELIA BRICCO FIASCO 2015,8032804342743,0.75,1,13.5,185.99,0
Wine,France Wine,France Red Wine,FRANCE,142979,PAUILLAC - CHATEAU LYNCH BAGES 2018,3760020136512,0.75,1,13,300,NA
Spirits,Whisky,Canadian Whisky,CANADA,212296,COLLINGWOOD - DOUBLE BARRELED,88004047672,0.75,1,45,41.49,NA
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,227433,DRIFTWOOD BREWERY - RAISED BY WOLVES IPA TALL CAN 4-PACK,628201888885,0.473,4,7,15.49,NA
Wine,France Wine,France Red Wine,FRANCE,251221,HERMITAGE - PAUL JABOULET LA CHAPELLE 2020,3105710150186,0.75,1,15.5,365.99,0
Wine,France Wine,France White Wine,FRANCE,272441,COTES DU JURA - MARCEL CABELIER CHATEAU CHALON LA COTE 39,3570590109997,0.75,1,13.5,39.99,0
Wine,France Wine,France Red Wine,FRANCE,272939,PAUILLAC - CHATEAU MOUTON ROTHSCHILD 2022,3609051354383,0.75,1,13,1500,NA
Wine,Argentina Wine,Argentina White Wine,ARGENTINA,275563,BLANCO - ALTOS LAS HORMIGAS,806145000123,0.75,1,12,21.99,0
Wine,Spain Wine,Spain Red Wine,SPAIN,296426,CAMPO DE BORJA GARNACHA - BORSAO,8412423120036,0.75,1,14.5,13.99,0
